"Step","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/accuracy","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/accuracy__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/accuracy__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy__MAX","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy__MIN","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy__MAX"
"0","0.28522458048135707","0.28522458048135707","0.28522458048135707","0.5437706332228144","0.5437706332228144","0.5437706332228144","0.5273357800826348","0.5273357800826348","0.5273357800826348"
"2","0.3796620845784759","0.3796620845784759","0.3796620845784759","0.6496483355366023","0.6496483355366023","0.6496483355366023","0.6432833697327289","0.6432833697327289","0.6432833697327289"
"4","0.4029169440571479","0.4029169440571479","0.4029169440571479","0.67954515227469","0.67954515227469","0.67954515227469","0.6789601841704273","0.6789601841704273","0.6789601841704273"
"6","0.4210256918303739","0.4210256918303739","0.4210256918303739","0.6958572193226085","0.6958572193226085","0.6958572193226085","0.7001383919394512","0.7001383919394512","0.7001383919394512"
"8","0.43810352557976273","0.43810352557976273","0.43810352557976273","0.7071507368747029","0.7071507368747029","0.7071507368747029","0.714686098896082","0.714686098896082","0.714686098896082"
"10","0.4523487785318401","0.4523487785318401","0.4523487785318401","0.7158044669871474","0.7158044669871474","0.7158044669871474","0.7265472953041797","0.7265472953041797","0.7265472953041797"
"12","0.4655607775799525","0.4655607775799525","0.4655607775799525","0.7226839184607952","0.7226839184607952","0.7226839184607952","0.7357264675618127","0.7357264675618127","0.7357264675618127"
"14","0.47639773212978065","0.47639773212978065","0.47639773212978065","0.7287129503839055","0.7287129503839055","0.7287129503839055","0.743328689178842","0.743328689178842","0.743328689178842"
"16","0.4864575493423267","0.4864575493423267","0.4864575493423267","0.7335737294193203","0.7335737294193203","0.7335737294193203","0.7497398124732694","0.7497398124732694","0.7497398124732694"
"18","0.4945940629841963","0.4945940629841963","0.4945940629841963","0.7375303110440302","0.7375303110440302","0.7375303110440302","0.7556078920569117","0.7556078920569117","0.7556078920569117"
"20","0.5023926782971757","0.5023926782971757","0.5023926782971757","0.7417839904198301","0.7417839904198301","0.7417839904198301","0.7606269838752253","0.7606269838752253","0.7606269838752253"
"22","0.5095973593663478","0.5095973593663478","0.5095973593663478","0.7449508333508003","0.7449508333508003","0.7449508333508003","0.7654746581299217","0.7654746581299217","0.7654746581299217"
"24","0.5162431828718991","0.5162431828718991","0.5162431828718991","0.747707235707514","0.747707235707514","0.747707235707514","0.7694568797319775","0.7694568797319775","0.7694568797319775"
"26","0.5224775343625689","0.5224775343625689","0.5224775343625689","0.7503186480763246","0.7503186480763246","0.7503186480763246","0.7735441977196242","0.7735441977196242","0.7735441977196242"
"28","0.5279795746552245","0.5279795746552245","0.5279795746552245","0.7527823378830284","0.7527823378830284","0.7527823378830284","0.7767447505024468","0.7767447505024468","0.7767447505024468"