"Step","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/loss","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/loss__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/loss__MAX","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MIN","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MAX"
"0","1.6523093459926126","1.6523093459926126","1.6523093459926126","0.9642234114341406","0.9642234114341406","0.9642234114341406","0.9947217535791975","0.9947217535791975","0.9947217535791975"
"2","1.336567613856617","1.336567613856617","1.336567613856617","0.7401196772143954","0.7401196772143954","0.7401196772143954","0.7505338777066309","0.7505338777066309","0.7505338777066309"
"4","1.2543579945058534","1.2543579945058534","1.2543579945058534","0.6763915455057508","0.6763915455057508","0.6763915455057508","0.6751243061188495","0.6751243061188495","0.6751243061188495"
"6","1.2055041192671954","1.2055041192671954","1.2055041192671954","0.6413280369141401","0.6413280369141401","0.6413280369141401","0.6315357610260769","0.6315357610260769","0.6315357610260769"
"8","1.1662368649270112","1.1662368649270112","1.1662368649270112","0.6171745715332237","0.6171745715332237","0.6171745715332237","0.6003561178585152","0.6003561178585152","0.6003561178585152"
"10","1.1343358108749637","1.1343358108749637","1.1343358108749637","0.5991191962064603","0.5991191962064603","0.5991191962064603","0.5759177849470795","0.5759177849470795","0.5759177849470795"
"12","1.1077515771249673","1.1077515771249673","1.1077515771249673","0.5844367713832752","0.5844367713832752","0.5844367713832752","0.5563593394248001","0.5563593394248001","0.5563593394248001"
"14","1.0850386682784918","1.0850386682784918","1.0850386682784918","0.5719529503545204","0.5719529503545204","0.5719529503545204","0.540044399373459","0.540044399373459","0.540044399373459"
"16","1.0654028600557541","1.0654028600557541","1.0654028600557541","0.5613289224830541","0.5613289224830541","0.5613289224830541","0.525867846330781","0.525867846330781","0.525867846330781"
"18","1.0479831308513492","1.0479831308513492","1.0479831308513492","0.5523536029832188","0.5523536029832188","0.5523536029832188","0.5134663885677015","0.5134663885677015","0.5134663885677015"
"20","1.032357370440578","1.032357370440578","1.032357370440578","0.544134966996841","0.544134966996841","0.544134966996841","0.5022994392749035","0.5022994392749035","0.5022994392749035"
"22","1.0182334542016447","1.0182334542016447","1.0182334542016447","0.5368760190742873","0.5368760190742873","0.5368760190742873","0.4927499069473444","0.4927499069473444","0.4927499069473444"
"24","1.0051344090596939","1.0051344090596939","1.0051344090596939","0.5307420076745929","0.5307420076745929","0.5307420076745929","0.4836184987193578","0.4836184987193578","0.4836184987193578"
"26","0.9934072062953726","0.9934072062953726","0.9934072062953726","0.5250273856185216","0.5250273856185216","0.5250273856185216","0.4754803366475291","0.4754803366475291","0.4754803366475291"
"28","0.9824683058571506","0.9824683058571506","0.9824683058571506","0.5198729230469955","0.5198729230469955","0.5198729230469955","0.4679970135549446","0.4679970135549446","0.4679970135549446"