"Step","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy__MAX","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy__MIN","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/accuracy__MAX","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/accuracy","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/accuracy__MIN","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/accuracy__MAX","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/accuracy","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/accuracy__MIN","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/accuracy__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/accuracy","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/accuracy__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/accuracy__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/accuracy","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/accuracy__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/accuracy__MAX"
"0","0.5817870941024774","0.5817870941024774","0.5817870941024774","0.5604515471880912","0.5604515471880912","0.5604515471880912","0.36743937474304095","0.36743937474304095","0.36743937474304095","0.30140664034576536","0.30140664034576536","0.30140664034576536","0.2932001021533362","0.2932001021533362","0.2932001021533362","0.2893651625531249","0.2893651625531249","0.2893651625531249"
"2","0.678458198402068","0.678458198402068","0.678458198402068","0.6684992584674583","0.6684992584674583","0.6684992584674583","0.42836590419161136","0.42836590419161136","0.42836590419161136","0.36224512447379315","0.36224512447379315","0.36224512447379315","0.3840077739341623","0.3840077739341623","0.3840077739341623","0.3808899391333997","0.3808899391333997","0.3808899391333997"
"4","0.7069286538147116","0.7069286538147116","0.7069286538147116","0.7015559632570377","0.7015559632570377","0.7015559632570377","0.4527294590510405","0.4527294590510405","0.4527294590510405","0.3747163005679293","0.3747163005679293","0.3747163005679293","0.42288435995928275","0.42288435995928275","0.42288435995928275","0.4250017161667589","0.4250017161667589","0.4250017161667589"
"6","0.7233681911190675","0.7233681911190675","0.7233681911190675","0.721180161033411","0.721180161033411","0.721180161033411","0.47352122622665715","0.47352122622665715","0.47352122622665715","0.3879451871679184","0.3879451871679184","0.3879451871679184","0.453369186495428","0.453369186495428","0.453369186495428","0.45277838995584774","0.45277838995584774","0.45277838995584774"
"8","0.7349775253745182","0.7349775253745182","0.7349775253745182","0.7354099205565054","0.7354099205565054","0.7354099205565054","0.49355915830753366","0.49355915830753366","0.49355915830753366","0.398346416647088","0.398346416647088","0.398346416647088","0.47821505547631377","0.47821505547631377","0.47821505547631377","0.47653585126122217","0.47653585126122217","0.47653585126122217"
"10","0.7433126807182888","0.7433126807182888","0.7433126807182888","0.7455172236103969","0.7455172236103969","0.7455172236103969","0.5085289830198583","0.5085289830198583","0.5085289830198583","0.4097142348501682","0.4097142348501682","0.4097142348501682","0.4952513793544844","0.4952513793544844","0.4952513793544844","0.49302255601725337","0.49302255601725337","0.49302255601725337"
"12","0.7502142832351111","0.7502142832351111","0.7502142832351111","0.7540511383310943","0.7540511383310943","0.7540511383310943","0.5174422929614756","0.5174422929614756","0.5174422929614756","0.41988164687191776","0.41988164687191776","0.41988164687191776","0.5070631400050307","0.5070631400050307","0.5070631400050307","0.5055732446771343","0.5055732446771343","0.5055732446771343"
"14","0.7554648161558369","0.7554648161558369","0.7554648161558369","0.7611328437445446","0.7611328437445446","0.7611328437445446","0.5245760232646852","0.5245760232646852","0.5245760232646852","0.42773705802973777","0.42773705802973777","0.42773705802973777","0.5176132774337773","0.5176132774337773","0.5176132774337773","0.516331471206101","0.516331471206101","0.516331471206101"
"16","0.7599954664294094","0.7599954664294094","0.7599954664294094","0.7668299333608011","0.7668299333608011","0.7668299333608011","0.5307518986242036","0.5307518986242036","0.5307518986242036","0.4346451013494548","0.4346451013494548","0.4346451013494548","0.5296791507605941","0.5296791507605941","0.5296791507605941","0.5265068428724762","0.5265068428724762","0.5265068428724762"
"18","0.7642428548174336","0.7642428548174336","0.7642428548174336","0.7722428210826989","0.7722428210826989","0.7722428210826989","0.5366384880347068","0.5366384880347068","0.5366384880347068","0.44001556600671393","0.44001556600671393","0.44001556600671393","0.5387822525850479","0.5387822525850479","0.5387822525850479","0.5372579500732659","0.5372579500732659","0.5372579500732659"
"20","0.7675575629109724","0.7675575629109724","0.7675575629109724","0.7771531806507321","0.7771531806507321","0.7771531806507321","0.5413232361862135","0.5413232361862135","0.5413232361862135","0.44525475423853766","0.44525475423853766","0.44525475423853766","0.545804891633732","0.545804891633732","0.545804891633732","0.5449737806424381","0.5449737806424381","0.5449737806424381"
"22","0.7708625941772599","0.7708625941772599","0.7708625941772599","0.7816307074004691","0.7816307074004691","0.7816307074004691","0.5455041348971966","0.5455041348971966","0.5455041348971966","0.4494129877909309","0.4494129877909309","0.4494129877909309","0.5525036227089056","0.5525036227089056","0.5525036227089056","0.5510275987377954","0.5510275987377954","0.5510275987377954"
"24","0.7736972581088551","0.7736972581088551","0.7736972581088551","0.7853367114287035","0.7853367114287035","0.7853367114287035","0.5490751025806202","0.5490751025806202","0.5490751025806202","0.4534682392890212","0.4534682392890212","0.4534682392890212","0.5586986917684111","0.5586986917684111","0.5586986917684111","0.5568500555758145","0.5568500555758145","0.5568500555758145"
"26","0.7758253746038153","0.7758253746038153","0.7758253746038153","0.7884330501276544","0.7884330501276544","0.7884330501276544","0.5524161369269699","0.5524161369269699","0.5524161369269699","0.45705718817831875","0.45705718817831875","0.45705718817831875","0.5642334713134435","0.5642334713134435","0.5642334713134435","0.5648028696302766","0.5648028696302766","0.5648028696302766"
"28","0.7779838123841257","0.7779838123841257","0.7779838123841257","0.7917747818773835","0.7917747818773835","0.7917747818773835","0.5556937745319767","0.5556937745319767","0.5556937745319767","0.4603536261494345","0.4603536261494345","0.4603536261494345","0.5688658294789413","0.5688658294789413","0.5688658294789413","0.5702712902412577","0.5702712902412577","0.5702712902412577"